created_at,text,User_Location,lang,retweeted,reweet_count
Tue Apr 07 15:27:20 +0000 2020,RT JdeMontreal COVID19 Le Canada va recevoir mercredi quelque 500 000 masques de la compagnie amricaine 3Mpolcan ,In Da House,fr,FALSE,1
Tue Apr 07 15:27:20 +0000 2020,RT LeonardRoxon corkyzhaman People including politicians react based on inadequate information and then retract statements madeHowe,Peterborough  Ontario,en,FALSE,18
Tue Apr 07 15:27:19 +0000 2020,Le Canada va recevoir demain quelque 500 000 masques de la compagnie amricaine 3M JDQ COVID19 polcan ,Qubec  Canada,fr,FALSE,0
Tue Apr 07 15:27:19 +0000 2020,Teko Modise vs Canada Who remembers this match ,KwaMhlabuyalingana ,en,FALSE,0
Tue Apr 07 15:27:19 +0000 2020,Leading causes of death in Canada total population Source Statistics Canada ,Toronto,en,FALSE,0
Tue Apr 07 15:27:18 +0000 2020,Bourassa1963 merry123459 Thankfully Canada dodged a bullet last October and were lead by adults who understand diplomacy,,en,FALSE,0
Tue Apr 07 15:27:18 +0000 2020,RT darrylsden For those that havent figured out why most companies have their headquarters that employee highly educated professionals,Hamilton ON Canada,en,FALSE,5
Tue Apr 07 15:27:18 +0000 2020,RT JPTasker Trudeau says govt is offering fulltime jobs to military reservists Health Canada is recruiting volunteers to help out fron,,en,FALSE,7
Tue Apr 07 15:27:18 +0000 2020,RT NavdeepSBains We are also working with one of Canadas Nobel Prizewinning researchers Dr Art McDonald who is leading a team of sci,Calgary  Alberta,en,FALSE,1
Tue Apr 07 15:27:18 +0000 2020,gusto ko ng umuwi sa canada bwisit na quarantine to,,tl,FALSE,0
Tue Apr 07 15:27:18 +0000 2020,RT WTWhr In our latest advisory we delve into the COVID19 issues for pension plans in Canada The pandemic has prompted the introducti,40 756749 73 988158,en,FALSE,1
Tue Apr 07 15:27:18 +0000 2020,JustinTrudeau having his daily press conference Absolutely nothing new When will the critical industries of Cana ,,en,FALSE,0
Tue Apr 07 15:27:17 +0000 2020,RT CurmudgeonTired HappyintheWest Carolannsassy SELECTIVE POLICINGFine for Road Blockade 0Fine for Illegal entry to Canada 0Fine f,,en,FALSE,47
Tue Apr 07 15:27:17 +0000 2020,RT BBFarhadi The assumption that we have parents ready to sit there and do this work the assumption that we have students ready with th,Windsor  Ontario,en,FALSE,27
Tue Apr 07 15:27:17 +0000 2020,realDonaldTrump Compare USA to Canada WHY PRESIDENT 45 DID NOTHING FOR 70 DAY  CLAIMING ITS A HOAX SAD SAD  ST ,North Okanagan  British Columb,en,FALSE,0
Tue Apr 07 15:27:16 +0000 2020,RT NavdeepSBains Purchasing madeinCanada ventilators from Thornhill Medical CAEInc Ventilators for Canadians  StarFishMedical amp o,Calgary  Alberta,en,FALSE,1
Tue Apr 07 15:27:16 +0000 2020,RebelNewsOnline TheMenzoid What Why isnt Trudeau doing not stopping this in Canada  Is he getting paid off to protect this,,en,FALSE,0
Tue Apr 07 15:27:16 +0000 2020,770CHQR ABDanielleSmith Hi Danielle why is it that CHQR 770 am is constantly discussing US news Is it because C ,Calgary  Alberta,en,FALSE,0
Tue Apr 07 15:27:15 +0000 2020,Landlords bracing for rent strikes across Canada as coronavirus kills dailywage jobs ,Canada,en,FALSE,0
Tue Apr 07 15:27:15 +0000 2020,RT JustinTrudeau I want to thank the dedicated public servants who are making sure the application process for the Canada Emergency Respo,Victoria  BC  Canada,en,FALSE,836
Tue Apr 07 15:27:15 +0000 2020,Lets operate the way we have to in this crisis based on not knowing when it will end Ontario looks to be closed ,,en,FALSE,0
Tue Apr 07 15:27:14 +0000 2020,joshmalek jkenney Still waiting on Hollywood elites to move to Canada after they said they were gonna move when T ,Onoway,en,FALSE,0
Tue Apr 07 15:27:14 +0000 2020,RT StateDept US Citizen Travelers Please enroll in  to receive alerts and ensure you can be located in an emerg,,en,FALSE,113
Tue Apr 07 15:27:14 +0000 2020,Hello I am the writer and author of Northern Lake Adventures  The Encounter  Please share with parents teac ,Canada,en,FALSE,1
Tue Apr 07 15:27:13 +0000 2020,Canada has lost a GIANT with the passing of Jean LittleShe was so important to my students she came to our class ,,en,FALSE,0
Tue Apr 07 15:27:13 +0000 2020,RT APjoshgoodman Ex US diplomat William Brownfield was one of the first to call Venezuela a narco state But now the veteran drug warrior,T  45 495785 73 57803,en,FALSE,45
Tue Apr 07 15:27:13 +0000 2020,officialnini0la CandlesColombiaCalculateCongress CongregationCampColonyClauseClassCaseCautionCandyComm ,Ede  Nigeria,en,FALSE,0
Tue Apr 07 15:27:13 +0000 2020,PM says hes expecting 500K masks from  3M tomorrow  Not sure if this is in addition to the 500k Ontario reporte ,Toronto  Ontario,en,FALSE,0
Tue Apr 07 15:27:12 +0000 2020,En direct   Nous attendons 500 000 masques de 3M demain et nous travaillons aussi vite que possible pour les fai ,Montreal  Qc  Canada,fr,FALSE,0
Tue Apr 07 15:27:12 +0000 2020,RT shankarita I can remember when immigrants applied to come to Canada  filled out forms got a medical amp police report paid a fee pai,,en,FALSE,165
Tue Apr 07 15:27:12 +0000 2020,taesinnerchildd chartdata BTStwt And it provides a great block list ,,en,FALSE,0
Tue Apr 07 15:27:11 +0000 2020,RT solange Insisto en que el dato que debe ponernos en alerta es el del nmero de fallecimientos Mxico tiene hoy 94 fallecidos con 21,Mxico,es,FALSE,1195
Tue Apr 07 15:27:10 +0000 2020,RT BBCWorld US man fatally shoots his partner before turning gun on himself after being afraid they both have coronavirus police say htt,Malaysia,en,FALSE,251
Tue Apr 07 15:27:10 +0000 2020,RT CBCNorth It needs to be done Staff keep Iqaluit school breakfast program going  ,Some Canadian Arctic Ghetto,en,FALSE,4
Tue Apr 07 15:27:10 +0000 2020,RT ElevatedMonkey Should the government aka you and I bailout the mainstream media in Canada,Okanagan,en,FALSE,126
Tue Apr 07 15:27:10 +0000 2020,dncingmoonlight BestBuy Not in Canada ,Front left,en,FALSE,0
Tue Apr 07 15:27:09 +0000 2020,The reporter pressed further and Trudeau said that Canada will continue to adjust its approach based on a number ,London  Canada,en,FALSE,0
Tue Apr 07 15:27:09 +0000 2020,RT PublicCitizen Rise in health insurance premiums due to coronavirusUSA  up to 40Australia 0Belgium 0Canada 0Chile 0Denma,Edinburg  TX,en,FALSE,2458
Tue Apr 07 15:27:09 +0000 2020,April 7TrudeauBodyCount16667 Infected426 Critical323 Dead covid19Canada cdnpoli TrudeauMustGo ,Republic of Western Canada ,en,FALSE,0
Tue Apr 07 15:27:09 +0000 2020,MickNovitch Au Canada peut tre,Nord  Nord Pas de Calais,fr,FALSE,0
Tue Apr 07 15:27:08 +0000 2020,RT HuffPostCanada Trudeau Other companies like Canada Goose are making equipment like medical gowns Companies arent only creating the,,en,FALSE,1
Tue Apr 07 15:27:08 +0000 2020,ShelPhone  like i dont want that wtf Canada is giving their citizens 2000 just flat out,,en,FALSE,0
Tue Apr 07 15:27:08 +0000 2020,RT fordnation To every doctor nurse and healthcare worker here in Ontario across Canada and around the globe  THANK YOU ,Mississauga,en,FALSE,232
Tue Apr 07 15:27:07 +0000 2020,These are just a few amazing examples of Canadas innovative spirit and generosity We know that the best approach ,Mississauga  Ontario,en,FALSE,1
Tue Apr 07 15:27:07 +0000 2020,RT TimSmithCACP We are together today because of the unselfish act of an unknown organdonor HumboldtBroncos Logan Boulet saved 6 lives,Lethbridge  Alberta,en,FALSE,7
Tue Apr 07 15:27:07 +0000 2020,We are also working with one of Canadas Nobel Prizewinning researchers Dr Art McDonald who is leading a team o ,Mississauga  Ontario,en,FALSE,1
Tue Apr 07 15:27:07 +0000 2020,Purchasing madeinCanada ventilators from Thornhill Medical CAEInc Ventilators for Canadians ,Mississauga  Ontario,en,FALSE,1
Tue Apr 07 15:27:07 +0000 2020,RT DixonGroveJMS Celebrating Dixon Grove teacher Ms Liang who did a great job sharing her work and our collective vision for ensuring eq,Toronto  Ontario,en,FALSE,5
Tue Apr 07 15:27:06 +0000 2020,JillPiggott NYforSanders JoeBiden Idk how youve lied to yourself so thoroughly Living half the year in Canada ,Brooklyn  NY,en,FALSE,0
Tue Apr 07 15:27:05 +0000 2020,RT DrRonHolt Please RT this You just may save a life Suicide hotline numbers  United Kingdom  116 123United States  1800273,,en,FALSE,39
Tue Apr 07 15:27:05 +0000 2020,PM says govt working with Thornhill Medical CAE Ventilators for Canadians amp group led by StarFish Medical to prod ,Vancouver  British Columbia,en,FALSE,0
Tue Apr 07 15:27:05 +0000 2020,RT RemediesPodcast Connection between COVID and MEcfsScientists warn COVID19 could lead to neurological complications in some pat,Hayling Island ,en,FALSE,6
Tue Apr 07 15:27:05 +0000 2020,RT AutoNewsCanada Ford to make face shields in Windsor Ont to aid in COVID19 fight  ,Smackover  AR,en,FALSE,14
Tue Apr 07 15:27:05 +0000 2020,jennschiffer damn it i want it and i cant possibly get a delivery up here in canada manhattan,occupied Lenape land   nyc,en,FALSE,0
Tue Apr 07 15:27:05 +0000 2020,RT BBCWorld Seeing people die is not the issue Were trained to deal with death The issue is giving up on people we wouldnt normally,Abuja Nigeria,en,FALSE,1394
Tue Apr 07 15:27:04 +0000 2020,RT GovCanHealth Unsure how to care for a child with COVID19 Read this factsheet for guidance on how to monitor their symptoms and what,Manitoba  Canada,en,FALSE,57
Tue Apr 07 15:27:04 +0000 2020,RT hibach9                        ,,ur,FALSE,33
Tue Apr 07 15:27:04 +0000 2020,borocanuck 11 of all COVID cases in Ontario are health care providers More than 500 healthcare workers in the ,,en,FALSE,0
Tue Apr 07 15:27:04 +0000 2020,Its a complicated situation Temporary foreign workers allowed into Canada but there are hurdles ,Canada,en,FALSE,0
Tue Apr 07 15:27:04 +0000 2020,RT JustinTrudeau Our health care workers need protective gear to keep themselves safe treat patients and slow the spread of COVID19 T,London  Ontario,en,FALSE,74
Tue Apr 07 15:27:03 +0000 2020,RT camilateleSUR Canadian Premier of Ontario fordnation starts his statements today noting that the US wont allow medical supplies in,Maturn  Venezuela,en,FALSE,933
Tue Apr 07 15:27:03 +0000 2020,cabal of left marxists continue to ruin Canadas best city  ,southern Alberta,en,FALSE,0
Tue Apr 07 15:27:03 +0000 2020,RT CP24 JUST IN 3M makes deal with White House says Canada will continue to receive N95 masks ,bottom of a bog  she her ,en,FALSE,874
Tue Apr 07 15:27:03 +0000 2020,RT UnemitNL Voormalig hoofd Microsoft Canada Frank Clegg waarschuwt voor gevaren 5G Serious shit,BUY FOOD   MASKS  DON T FLY ,nl,FALSE,1
Tue Apr 07 15:27:02 +0000 2020,RT MrKorpan Grade 8 student wanted to learn how to sew She quickly learned to sew masks She has already made 21 She is taking orders i,Regina  Saskatchewan,en,FALSE,11
Tue Apr 07 15:27:01 +0000 2020,RT Canadaglobal2 PaolaPabonC CompromisoRC Saludos desde Toronto Canad  Estaremos pendiente De esta injusticia Hasta la victoria Si,Ecuador,es,FALSE,1
Tue Apr 07 15:27:01 +0000 2020,RT Motomom128302 Have you learned your lesson yet Canada Who would you vote for if we had an election today All fake Canadians need not,,en,FALSE,161
Tue Apr 07 15:27:01 +0000 2020,China WHO UN EU Canada CNN NBC New York Times Obama Biden Hillary Cuomo Democratic Party New York Stat ,china,en,FALSE,0
Tue Apr 07 15:27:01 +0000 2020,RT EfectoCocuyo SepaQue De acuerdo con el diario Panorama una explosin dej sin luz al momento a la poblacin de Maracaibo San Franci,N 10 40  0    W 71 36  0 ,es,FALSE,15
Tue Apr 07 15:27:01 +0000 2020,RT EvanLSolomon JustinTrudeau expects 500 000 masks from 3M tomorrow And working with Canadian companies to produce 30 000 made in Cana,,en,FALSE,6
Tue Apr 07 15:26:59 +0000 2020,RT saminalrights The governments of Canada Japan and Norway have decided that the hunting and murdering of seals and whales are essentia,,en,FALSE,2
Tue Apr 07 15:26:59 +0000 2020,RT fsorbara Apply for the  Emergency Response Benefit by calling or through the main CERB site   Select either,,en,FALSE,6
Tue Apr 07 15:26:58 +0000 2020,RT SharonBillen Canada s military wants Trudeau to ban Huawei from 5G  networks  It threatens National Security  TrudeauMustGo Bl,Beijing,en,FALSE,595
Tue Apr 07 15:26:58 +0000 2020,help Stats Canada understand how Canadians are responding to Covid19 Only takes a few minutes to fill out ,Ottawa  Ontario,en,FALSE,0
Tue Apr 07 15:26:57 +0000 2020,RT CanadianPM To get through this together we must all stay apart PhysicalDistancing saves lives  do your part StayHomeSaveLives h,Alberta  Canada,en,FALSE,164
Tue Apr 07 15:26:57 +0000 2020,RT jkwanmd Canadians are doing a good job based on Google mobility data In theory this shows many citizens are actually listening,Canada,en,FALSE,28
Tue Apr 07 15:26:57 +0000 2020,RT CanadianPM If you were born in the months of April May or June and are eligible for the Canada Emergency Response Benefit apply tod,,en,FALSE,62
Tue Apr 07 15:26:56 +0000 2020,EnactusCanada EnactusAlumniChat Another partnership Ive been able to establish is with a local womens shelter ,Toronto  Ontario,en,FALSE,0
Tue Apr 07 15:26:56 +0000 2020,RT fordnation I am very pleased that a resolution has been reached between 3M and the US administration I want to thank 3M and officia,,en,FALSE,2489
Tue Apr 07 15:26:55 +0000 2020,RT TechJedi1 India goes in to lockdown and suddenly the Canada Revenue Agency is no longer calling with a warrant for my arrest,,en,FALSE,23
Tue Apr 07 15:26:54 +0000 2020,RT MichelleRempel Im hoping JustinTrudeau  that today will be the day where you announce measures to support one of Canadas most cri,,en,FALSE,164
Tue Apr 07 15:26:54 +0000 2020,TDCanada your trading platforms working Need a change from CIBC with their systems downcibc,,en,FALSE,0
Tue Apr 07 15:26:53 +0000 2020,corevaluehk WBYeatsCalledIt CicadaCrypto amberathey Like I said how is it robbing masks when they are yours t ,Roanoke  VA,en,FALSE,0
Tue Apr 07 15:26:53 +0000 2020,Its NationalCaregiverDay in CanadaHere are my thoughts on being a caregiver in the time of COVID19 alongside ,New Westminster  British Columbia,en,FALSE,0
Tue Apr 07 15:26:53 +0000 2020,RT ALGhammer Her lifes workshes been wrong from Day 1 and the media is making excuses for herOnly in Canada is failure praised,Canada,en,FALSE,8
Tue Apr 07 15:26:52 +0000 2020,RT asalund B52Malmet Trumps hollow threats to stop shipments to Canada ended when Trudeau quietly pointed out most of the material for,,en,FALSE,44
Tue Apr 07 15:26:52 +0000 2020,RT MargaretAtwood Heres why everyone you know is baking bread in quarantine  CBC News ,Florida  USA ,en,FALSE,109
Tue Apr 07 15:26:51 +0000 2020,therealsoulsoup ,Canada,und,FALSE,0
Tue Apr 07 15:26:51 +0000 2020,Yes other factors like class disability age gender identity will be important to examine with an intersectional ,vancouver  bc ,en,FALSE,0
Tue Apr 07 15:26:51 +0000 2020,RT sidneychest Add in CBC Global  NewsPapersThe Greasy Bearded Lazy Bastard PM in his hidden away fox hole in Canada,British Columbia  Canada,en,FALSE,5
Tue Apr 07 15:26:51 +0000 2020,RT SoMersVick dianamurphy613 RosieBarton JustinTrudeau Jean Chretien would be disgusted and ashamed of you  Prime Minister Justin Tr,Atlantic Coast CANADA ,en,FALSE,4
Tue Apr 07 15:26:50 +0000 2020,RT truebluecanadi1 GoatApologist If Trudeau REALLY wanted to help seniors he would have helped them directly  He has the names and addr,,en,FALSE,9
Tue Apr 07 15:26:50 +0000 2020,vickyperiodista Ac en Canad para los grandes almacenes hay colas igual o mas largas y eso que no hay restriccio ,Peru,es,FALSE,0
Tue Apr 07 15:26:50 +0000 2020,RT simonekerft HAPPY CANADA DAY This Reylo art is in honour of the Filles du Roi who were sent by the King of France starting in 16,Macap  Brasil,en,FALSE,25
Tue Apr 07 15:26:49 +0000 2020,More than 56 billion of dividends have been scrapped by businesses based in Western Europe the US and Canada ,Sydney,en,FALSE,0
Tue Apr 07 15:26:48 +0000 2020,RT aartipole While global competition for critical protective equipment for health care workers a deal has been reached with USbased 3,,en,FALSE,3
Tue Apr 07 15:26:47 +0000 2020,RT CBCCanada Why is BC flattening the COVID19 curve while numbers in central Canada surge  ,Vancouver  British Columbia,en,FALSE,40
Tue Apr 07 15:26:47 +0000 2020,COVID19 Coquitlam company retools will be first in Canada to produce N95 PPE  by deniseoryan  ,,en,FALSE,0
Tue Apr 07 15:26:47 +0000 2020,OMFGFirst question of the day is about the closure of borders back on March 16thTrudeau answers that he is focu ,Breathlessly Awaiting JusDim,en,FALSE,0
Tue Apr 07 15:26:47 +0000 2020,RT RyanGrieveAB It would still be too costly even if virtually every social program in Canada was abolished EI CPP OAS GIS tax cred,,en,FALSE,1
Tue Apr 07 15:26:47 +0000 2020,RT cmaconthehill Trudeau says the government is teaming up with several medical companies to produce 30000 made in Canada ventilators c,Toronto,en,FALSE,9
Tue Apr 07 15:26:46 +0000 2020,Coronavirus wreaks havoc in African American neighbourhoods  ,Winnipeg  Manitoba,en,FALSE,0
Tue Apr 07 15:26:46 +0000 2020,SenseiKira jirai au perou lev des alapagaou canada avec d caribouou Amsterdam et ouvrir un bar avec sxckyuskty,,fr,FALSE,0
Tue Apr 07 15:26:45 +0000 2020,RT NightShiftMD At the news conference today it would be helpful if someone asks why Health Canada hasnt approved serologic antibody,,en,FALSE,9
Tue Apr 07 15:26:45 +0000 2020,RT LeslynLewis China cant be trusted and Canadas government has let us down Read my statement and then answer this brief survey to let,Calgary  Alberta,en,FALSE,423
Tue Apr 07 15:26:45 +0000 2020,At this point what are the steps to becoming a Canada citizen cause shit is real ghetto here,North Carolina  USA,en,FALSE,0
Tue Apr 07 15:26:45 +0000 2020,RT NatCitizens RETURN TO SENDER Huawei has leaked to media that theyve donated more than a million masks and additional supplies to our,,en,FALSE,18
Tue Apr 07 15:26:44 +0000 2020,Statement For food security Canada needs more domestic agricultural workers  Dclaration Pour assurer la scur ,Prince Edward Island  Canada,fr,FALSE,0
Tue Apr 07 15:26:44 +0000 2020,khloe You dont need to be in Quebec to have a poutine  anywhere in Canada,,en,FALSE,0
Tue Apr 07 15:26:44 +0000 2020,RT AirCanada Air Canada Announces the Extension of Altitude Status for all Members More via ACMedia ,Montreal,en,FALSE,65
Tue Apr 07 15:26:44 +0000 2020,RT deepgreendesign So FordNation didnt have the Timbits demanding realDonaldTrump release Ontario PPE at the borderRemember Canada,Alberta  Canada,en,FALSE,3
Tue Apr 07 15:26:43 +0000 2020,RT rachelkennedy84 Black Chicagoans account for half of all coronavirus cases in the city and more than 70 of deaths  ,,en,FALSE,73
Tue Apr 07 15:26:43 +0000 2020,Were interested in connecting with people doing research on the impact of COVID19 on Canadas cities Is that you ,Canada,en,FALSE,0
Tue Apr 07 15:26:43 +0000 2020,RT TheMirndaRghts Donde est Madison Scott AKA Maddy MaddyScottdisappearanceHogsbackLakeVanderhoofBritishColumbiaCanadaE15TMR,,en,FALSE,20
Tue Apr 07 15:26:43 +0000 2020,RT ALGhammer Think about itHuawei is sending Canada a donation of masksAre we a 3rd world country,,en,FALSE,70
Tue Apr 07 15:26:43 +0000 2020,In my 50 years I have never seen any leader in the world let alone a leader here in Canada hold a press conferen ,North Bay  Ontario  Canada,en,FALSE,0
Tue Apr 07 15:26:43 +0000 2020,Coronavirus live updates 21 reported dead and 379 new cases of COVID19 in OntarioCOVID19 ,Canada,en,FALSE,0
Tue Apr 07 15:26:42 +0000 2020,COVID19  un million de Canadiens se sont inscrits hier au programme de la prestation canadienne durgence  2000 ,Montral,fr,FALSE,0
Tue Apr 07 15:26:42 +0000 2020,Landlords bracing for rent strikes across Canada as coronavirus kills dailywage jobs  ,Toronto,en,FALSE,0
Tue Apr 07 15:26:42 +0000 2020,my cousins in Canada for her masters and cant come back because of the lockdown and her flatmate is so annoying ,BTS  Day6  Mamamoo  Ateez  Cql,en,FALSE,0
Tue Apr 07 15:26:42 +0000 2020,Coronavirus wreaks havoc in AfricanAmerican neighbourhoods ,,en,FALSE,0
Tue Apr 07 15:26:41 +0000 2020,Bored at home FredMuseum  needs your help to rewrite history ,Canada,en,FALSE,0
Tue Apr 07 15:26:41 +0000 2020,RT BOLETINECOLOGI Crnica de un periodista nicaragense sobreviviente al Covid19 exiliado en CanadSlo pens MorirAMPLA LA,,es,FALSE,5
Tue Apr 07 15:26:40 +0000 2020,RT AlBursey Heres a scary stat When the Canadian lockdown started drug suppliers in Canada saw a 200 increase in demand which would,Truro  NS  Canada,en,FALSE,17
Tue Apr 07 15:26:40 +0000 2020,COVID19 Le Canada va recevoir mercredi quelque 500 000 masques de la compagnie amricaine 3Mpolcan ,Montral  Qubec  Canada,fr,FALSE,1
Tue Apr 07 15:26:39 +0000 2020,RT MHernan Coordin una estrategia de respuesta y una red para llevar a cabo miles de pruebas con el apoyo del CDC y Canad Mismas que,Uio  CCS  Mxco  Bolivia  BsAs,es,FALSE,398
Tue Apr 07 15:26:39 +0000 2020,RT CBCNorth Chisasibi youth diagnosed with COVID19 bringing total among Cree in Quebec to 5  ,,en,FALSE,2
Tue Apr 07 15:26:38 +0000 2020,RT CBSNews After Trump bans mask exports infuriated Canadians remind US they helped during 911  ,,en,FALSE,497
Tue Apr 07 15:26:38 +0000 2020,PM JustinTrudeau says gov is teaming up with Arcteryx canadagoose and Stanfields1856 to produce medical gowns ,Vancouver,en,FALSE,1
Tue Apr 07 15:26:38 +0000 2020,RT gshmyrko BillTufts Canadas paid propaganda machine does not speak for me  No anger  respect and relief Trump is leading USA and no,,en,FALSE,2
Tue Apr 07 15:26:38 +0000 2020,RT cindian1 Nearly a trillion dollars moved from Canadian corporations to offshore destinations incl taxhavens thru legal tax avoidanc,Nova Scotia  Canada,en,FALSE,57
Tue Apr 07 15:26:38 +0000 2020,RT CanadianArmy The enemy may be different but our duty isnt Do YOUR part to keep Canada safe COVID19 ,,en,FALSE,103
Tue Apr 07 15:26:38 +0000 2020,and i think that contradicts the really false and stupid notion of canada embracing all because if this country ,used to be  shroudcelica,en,FALSE,0
Tue Apr 07 15:26:38 +0000 2020,RT inspirecanada Poutine delivered on a hockey stick  to maintain social distancing is the most Canadian thing you will see today In,Out   proud in Ontario  Canada,en,FALSE,2731
Tue Apr 07 15:26:38 +0000 2020,RT SMoncadaVEN El Premier de Ontario en Canad denuncia que EEUU impide ingreso de suministros para salvar vidas As sufre la agresin,Caicara del Orinoco,es,FALSE,595
Tue Apr 07 15:26:37 +0000 2020,RT ElevatedMonkey Are you a globalist or a nationalist  Should our tax dollars be used here in Canada first or globally to support devel,,en,FALSE,1
Tue Apr 07 15:26:36 +0000 2020,RT smkdattazz fordnation emerging as the confident face of the CAN COVID19 crisis since Trudeau has been an unequivocal failureIf c,Kitchener  Ontario,en,FALSE,24
