Tweet,Message/tweets,Match,Polarity
32,guntruthcanada I only read for work I watch tv in my free time,"free,work",Positive
33, JdeMontreal COVID19 Le Canada va recevoir mercredi quelque 500 000 masques de la compagnie amricaine 3Mpolcan ,,Neutral
34, LeonardRoxon corkyzhaman People including politicians react based on inadequate information and then retract statements madeHowe,"inadequate,retract",Negative
35,Le Canada va recevoir demain quelque 500 000 masques de la compagnie amricaine 3M JDQ COVID19 polcan ,,Neutral
36,Teko Modise vs Canada Who remembers this match ,,Neutral
37,Leading causes of death in Canada total population Source Statistics Canada ,death,Negative
38,Bourassa1963 merry123459 Thankfully Canada dodged a bullet last October and were lead by adults who understand diplomacy,lead,Positive
39, darrylsden For those that havent figured out why most companies have their headquarters that employee highly educated professionals,educated,Positive
40, JPTasker Trudeau says govt is offering fulltime jobs to military reservists Health Canada is recruiting volunteers to help out fron,,Neutral
41, NavdeepSBains We are also working with one of Canadas Nobel Prizewinning researchers Dr Art McDonald who is leading a team of sci,leading,Positive
42,gusto ko ng umuwi sa canada bwisit na quarantine to,gusto,Positive
43, WTWhr In our latest advisory we delve into the COVID19 issues for pension plans in Canada The pandemic has prompted the introducti,issues,Negative
44,JustinTrudeau having his daily press conference Absolutely nothing new When will the critical industries of Cana ,critical,Negative
45, CurmudgeonTired HappyintheWest Carolannsassy SELECTIVE POLICINGFine for Road Blockade 0Fine for Illegal entry to Canada 0Fine f,,Neutral
46, BBFarhadi The assumption that we have parents ready to sit there and do this work the assumption that we have students ready with th,"ready,work",Positive
47,realDonaldTrump Compare USA to Canada WHY PRESIDENT 45 DID NOTHING FOR 70 DAY  CLAIMING ITS A HOAX SAD SAD  ST ,,Neutral
48, NavdeepSBains Purchasing madeinCanada ventilators from Thornhill Medical CAEInc Ventilators for Canadians  StarFishMedical amp o,,Neutral
49,RebelNewsOnline TheMenzoid What Why isnt Trudeau doing not stopping this in Canada  Is he getting paid off to protect this,protect,Positive
50,770CHQR ABDanielleSmith Hi Danielle why is it that CHQR 770 am is constantly discussing US news Is it because C ,,Neutral
51,Landlords bracing for rent strikes across Canada as coronavirus kills dailywage jobs ,kills,Negative
52, JustinTrudeau I want to thank the dedicated public servants who are making sure the application process for the Canada Emergency Respo,"dedicated,thank",Positive
53,Lets operate the way we have to in this crisis based on not knowing when it will end Ontario looks to be closed ,crisis,Negative
54,joshmalek jkenney Still waiting on Hollywood elites to move to Canada after they said they were gonna move when T ,,Neutral
55, StateDept US Citizen Travelers Please enroll in  to receive alerts and ensure you can be located in an emerg,,Neutral
56,Hello I am the writer and author of Northern Lake Adventures  The Encounter  Please share with parents teac ,,Neutral
57,Canada has lost a GIANT with the passing of Jean LittleShe was so important to my students she came to our class ,"important,lost",Neutral
58, APjoshgoodman Ex US diplomat William Brownfield was one of the first to call Venezuela a narco state But now the veteran drug warrior,,Neutral
59,officialnini0la CandlesColombiaCalculateCongress CongregationCampColonyClauseClassCaseCautionCandyComm ,,Neutral
60,PM says hes expecting 500K masks from  3M tomorrow  Not sure if this is in addition to the 500k Ontario reporte ,,Neutral
61,En direct   Nous attendons 500 000 masques de 3M demain et nous travaillons aussi vite que possible pour les fai ,,Neutral
62, shankarita I can remember when immigrants applied to come to Canada  filled out forms got a medical amp police report paid a fee pai,,Neutral
63,taesinnerchildd chartdata BTStwt And it provides a great block list ,great,Positive
64, solange Insisto en que el dato que debe ponernos en alerta es el del nmero de fallecimientos Mxico tiene hoy 94 fallecidos con 21,,Neutral
65, BBCWorld US man fatally shoots his partner before turning gun on himself after being afraid they both have coronavirus police say htt,"afraid,fatally",Negative
66, CBCNorth It needs to be done Staff keep Iqaluit school breakfast program going  ,,Neutral
67, ElevatedMonkey Should the government aka you and I bailout the mainstream media in Canada,,Neutral
68,dncingmoonlight BestBuy Not in Canada ,,Neutral
69,The reporter pressed further and Trudeau said that Canada will continue to adjust its approach based on a number ,,Neutral
70, PublicCitizen Rise in health insurance premiums due to coronavirusUSA  up to 40Australia 0Belgium 0Canada 0Chile 0Denma,,Neutral
71,April 7TrudeauBodyCount16667 Infected426 Critical323 Dead covid19Canada cdnpoli TrudeauMustGo ,,Neutral
72,MickNovitch Au Canada peut tre,,Neutral
73, HuffPostCanada Trudeau Other companies like Canada Goose are making equipment like medical gowns Companies arent only creating the,like,Positive
74,ShelPhone  like i dont want that wtf Canada is giving their citizens 2000 just flat out,like,Positive
75, fordnation To every doctor nurse and healthcare worker here in Ontario across Canada and around the globe  THANK YOU ,,Neutral
76,These are just a few amazing examples of Canadas innovative spirit and generosity We know that the best approach ,"amazing,best,generosity,innovative",Positive
77, TimSmithCACP We are together today because of the unselfish act of an unknown organdonor HumboldtBroncos Logan Boulet saved 6 lives,"unselfish,unknown",Neutral
78,We are also working with one of Canadas Nobel Prizewinning researchers Dr Art McDonald who is leading a team o ,leading,Positive
79,Purchasing madeinCanada ventilators from Thornhill Medical CAEInc Ventilators for Canadians ,,Neutral
80, DixonGroveJMS Celebrating Dixon Grove teacher Ms Liang who did a great job sharing her work and our collective vision for ensuring eq,"great,work",Positive
81,JillPiggott NYforSanders JoeBiden Idk how youve lied to yourself so thoroughly Living half the year in Canada ,lied,Negative
82, DrRonHolt Please  this You just may save a life Suicide hotline numbers  United Kingdom  116 123United States  1800273,,Neutral
83,PM says govt working with Thornhill Medical CAE Ventilators for Canadians amp group led by StarFish Medical to prod ,led,Positive
84, RemediesPodcast Connection between COVID and MEcfsScientists warn COVID19 could lead to neurological complications in some pat,lead,Positive
85, AutoNewsCanada Ford to make face shields in Windsor Ont to aid in COVID19 fight  ,,Neutral
86,jennschiffer damn it i want it and i cant possibly get a delivery up here in canada manhattan,damn,Negative
87, BBCWorld Seeing people die is not the issue Were trained to deal with death The issue is giving up on people we wouldnt normally,"death,die,issue",Negative
88, GovCanHealth Unsure how to care for a child with COVID19 Read this factsheet for guidance on how to monitor their symptoms and what,"guidance,symptoms",Neutral
89, hibach9                        ,,Neutral
90,borocanuck 11 of all COVID cases in Ontario are health care providers More than 500 healthcare workers in the ,,Neutral
91,Its a complicated situation Temporary foreign workers allowed into Canada but there are hurdles ,complicated,Negative
92, JustinTrudeau Our health care workers need protective gear to keep themselves safe treat patients and slow the spread of COVID19 T,"protective,safe,slow",Positive
93, camilateleSUR Canadian Premier of Ontario fordnation starts his statements today noting that the US wont allow medical supplies in,,Neutral
94,cabal of left marxists continue to ruin Canadas best city  ,"best,ruin",Neutral
95, CP24 JUST IN 3M makes deal with White House says Canada will continue to receive N95 masks ,,Neutral
96, UnemitNL Voormalig hoofd Microsoft Canada Frank Clegg waarschuwt voor gevaren 5G Serious shit,shit,Negative
97, MrKorpan Grade 8 student wanted to learn how to sew She quickly learned to sew masks She has already made 21 She is taking orders i,,Neutral
98, Canadaglobal2 PaolaPabonC CompromisoRC Saludos desde Toronto Canad  Estaremos pendiente De esta injusticia Hasta la victoria Si,,Neutral
99, Motomom128302 Have you learned your lesson yet Canada Who would you vote for if we had an election today All fake Canadians need not,fake,Negative
100,China WHO UN EU Canada CNN NBC New York Times Obama Biden Hillary Cuomo Democratic Party New York Stat ,,Neutral
101, EfectoCocuyo SepaQue De acuerdo con el diario Panorama una explosin dej sin luz al momento a la poblacin de Maracaibo San Franci,sin,Negative
102, EvanLSolomon JustinTrudeau expects 500 000 masks from 3M tomorrow And working with Canadian companies to produce 30 000 made in Cana,,Neutral
103, saminalrights The governments of Canada Japan and Norway have decided that the hunting and murdering of seals and whales are essentia,,Neutral
104, fsorbara Apply for the  Emergency Response Benefit by calling or through the main CERB site   Select either,,Neutral
105, SharonBillen Canada s military wants Trudeau to ban Huawei from 5G  networks  It threatens National Security  TrudeauMustGo Bl,,Neutral
106,help Stats Canada understand how Canadians are responding to Covid19 Only takes a few minutes to fill out ,,Neutral
107, CanadianPM To get through this together we must all stay apart PhysicalDistancing saves lives  do your part StayHomeSaveLives h,,Neutral
108, jkwanmd Canadians are doing a good job based on Google mobility data In theory this shows many citizens are actually listening,good,Positive
109, CanadianPM If you were born in the months of April May or June and are eligible for the Canada Emergency Response Benefit apply tod,,Neutral
110,EnactusCanada EnactusAlumniChat Another partnership Ive been able to establish is with a local womens shelter ,,Neutral
111, fordnation I am very pleased that a resolution has been reached between 3M and the US administration I want to thank 3M and officia,"pleased,thank",Positive
112, TechJedi1 India goes in to lockdown and suddenly the Canada Revenue Agency is no longer calling with a warrant for my arrest,,Neutral
113, MichelleRempel Im hoping JustinTrudeau  that today will be the day where you announce measures to support one of Canadas most cri,support,Positive
114,TDCanada your trading platforms working Need a change from CIBC with their systems downcibc,,Neutral
115,corevaluehk WBYeatsCalledIt CicadaCrypto amberathey Like I said how is it robbing masks when they are yours t ,,Neutral
116,Its NationalCaregiverDay in CanadaHere are my thoughts on being a caregiver in the time of COVID19 alongside ,,Neutral
117, ALGhammer Her lifes workshes been wrong from Day 1 and the media is making excuses for herOnly in Canada is failure praised,"excuses,failure,wrong",Negative
118, asalund B52Malmet Trumps hollow threats to stop shipments to Canada ended when Trudeau quietly pointed out most of the material for,"hollow,threats",Negative
119, MargaretAtwood Heres why everyone you know is baking bread in quarantine  CBC News ,,Neutral
120,therealsoulsoup ,,Neutral
121,Yes other factors like class disability age gender identity will be important to examine with an intersectional ,"important,like",Positive
122, sidneychest Add in CBC Global  NewsPapersThe Greasy Bearded Lazy Bastard PM in his hidden away fox hole in Canada,,Neutral
123, SoMersVick dianamurphy613 RosieBarton JustinTrudeau Jean Chretien would be disgusted and ashamed of you  Prime Minister Justin Tr,"ashamed,disgusted",Negative
124, truebluecanadi1 GoatApologist If Trudeau REALLY wanted to help seniors he would have helped them directly  He has the names and addr,helped,Positive
125,vickyperiodista Ac en Canad para los grandes almacenes hay colas igual o mas largas y eso que no hay restriccio ,,Neutral
126, simonekerft HAPPY CANADA DAY This Reylo art is in honour of the Filles du Roi who were sent by the King of France starting in 16,,Neutral
127,More than 56 billion of dividends have been scrapped by businesses based in Western Europe the US and Canada ,,Neutral
128, aartipole While global competition for critical protective equipment for health care workers a deal has been reached with USbased 3,"protective,critical",Neutral
129, CBCCanada Why is BC flattening the COVID19 curve while numbers in central Canada surge  ,,Neutral
130,COVID19 Coquitlam company retools will be first in Canada to produce N95 PPE  by deniseoryan  ,,Neutral
131,OMFGFirst question of the day is about the closure of borders back on March 16thTrudeau answers that he is focu ,,Neutral
132, RyanGrieveAB It would still be too costly even if virtually every social program in Canada was abolished EI CPP OAS GIS tax cred,costly,Negative
133, cmaconthehill Trudeau says the government is teaming up with several medical companies to produce 30000 made in Canada ventilators c,,Neutral
134,Coronavirus wreaks havoc in African American neighbourhoods  ,"havoc,wreaks",Negative
135,SenseiKira jirai au perou lev des alapagaou canada avec d caribouou Amsterdam et ouvrir un bar avec sxckyuskty,,Neutral
136, NightShiftMD At the news conference today it would be helpful if someone asks why Health Canada hasnt approved serologic antibody,helpful,Positive
137, LeslynLewis China cant be trusted and Canadas government has let us down Read my statement and then answer this brief survey to let,trusted,Positive
138,At this point what are the steps to becoming a Canada citizen cause shit is real ghetto here,"ghetto,shit",Negative
139, NatCitizens RETURN TO SENDER Huawei has leaked to media that theyve donated more than a million masks and additional supplies to our,,Neutral
140,Statement For food security Canada needs more domestic agricultural workers  Dclaration Pour assurer la scur ,,Neutral
141,khloe You dont need to be in Quebec to have a poutine  anywhere in Canada,,Neutral
142, AirCanada Air Canada Announces the Extension of Altitude Status for all Members More via ACMedia ,,Neutral
143, deepgreendesign So FordNation didnt have the Timbits demanding realDonaldTrump release Ontario PPE at the borderRemember Canada,,Neutral
144, rachelkennedy84 Black Chicagoans account for half of all coronavirus cases in the city and more than 70 of deaths  ,,Neutral
145,Were interested in connecting with people doing research on the impact of COVID19 on Canadas cities Is that you ,,Neutral
146, TheMirndaRghts Donde est Madison Scott AKA Maddy MaddyScottdisappearanceHogsbackLakeVanderhoofBritishColumbiaCanadaE15TMR,,Neutral
147, ALGhammer Think about itHuawei is sending Canada a donation of masksAre we a 3rd world country,,Neutral
148,In my 50 years I have never seen any leader in the world let alone a leader here in Canada hold a press conferen ,,Neutral
149,Coronavirus live updates 21 reported dead and 379 new cases of COVID19 in OntarioCOVID19 ,dead,Negative
150,COVID19  un million de Canadiens se sont inscrits hier au programme de la prestation canadienne durgence  2000 ,,Neutral
151,Landlords bracing for rent strikes across Canada as coronavirus kills dailywage jobs  ,kills,Negative
152,my cousins in Canada for her masters and cant come back because of the lockdown and her flatmate is so annoying ,"masters,annoying",Neutral
153,Coronavirus wreaks havoc in AfricanAmerican neighbourhoods ,"havoc,wreaks",Negative
154,Bored at home FredMuseum  needs your help to rewrite history ,,Neutral
155, BOLETINECOLOGI Crnica de un periodista nicaragense sobreviviente al Covid19 exiliado en CanadSlo pens MorirAMPLA LA,,Neutral
156, AlBursey Heres a scary stat When the Canadian lockdown started drug suppliers in Canada saw a 200 increase in demand which would,scary,Negative
157,COVID19 Le Canada va recevoir mercredi quelque 500 000 masques de la compagnie amricaine 3Mpolcan ,,Neutral
158, MHernan Coordin una estrategia de respuesta y una red para llevar a cabo miles de pruebas con el apoyo del CDC y Canad Mismas que,,Neutral
159, CBCNorth Chisasibi youth diagnosed with COVID19 bringing total among Cree in Quebec to 5  ,,Neutral
160, CBSNews After Trump bans mask exports infuriated Canadians remind US they helped during 911  ,"helped,infuriated",Neutral
161,PM JustinTrudeau says gov is teaming up with Arcteryx canadagoose and Stanfields1856 to produce medical gowns ,,Neutral
162, gshmyrko BillTufts Canadas paid propaganda machine does not speak for me  No anger  respect and relief Trump is leading USA and no,"leading,relief,respect,anger,propaganda",Positive
163, cindian1 Nearly a trillion dollars moved from Canadian corporations to offshore destinations incl taxhavens thru legal tax avoidanc,,Neutral
164, CanadianArmy The enemy may be different but our duty isnt Do YOUR part to keep Canada safe COVID19 ,"safe,enemy",Neutral
165,and i think that contradicts the really false and stupid notion of canada embracing all because if this country ,"false,stupid",Negative
166, inspirecanada Poutine delivered on a hockey stick  to maintain social distancing is the most Canadian thing you will see today In,,Neutral
167, SMoncadaVEN El Premier de Ontario en Canad denuncia que EEUU impide ingreso de suministros para salvar vidas As sufre la agresin,,Neutral
168, ElevatedMonkey Are you a globalist or a nationalist  Should our tax dollars be used here in Canada first or globally to support devel,support,Positive
169, smkdattazz fordnation emerging as the confident face of the CAN COVID19 crisis since Trudeau has been an unequivocal failureIf c,"confident,unequivocal,crisis",Positive
170, aholyghost1 Winter testing on L vehicles conducted indoors  CBC News ,,Neutral
171, gtlem WE CANNOT BE COMPLACENT But Canada is NOT even in the top ten of Coronavirus Cases By Country see video belowLets keep i,top,Positive
172, GovCanHealth April 6 For the latest data on how the COVID19 outbreak is evolving in Canada visit our interactive COVID19 Situation,outbreak,Negative
173, valinasr Pastor who said Coronavirus was hysteria died of the virus after going to Mardi Gras ,"died,hysteria,virus",Negative
174,OttawaPolitico nationalpost IvisonJ What is with Canada and the China apologist propaganda Watched an interview ,"apologist,propaganda",Negative
175,JustinTrudeau Dear Service CanadaThank you for asking me to contact you by phone regarding my employer issuing my ,,Neutral
176,JasonZanatta RITE on Good for you a Proud Canadian Production Finally all Canadians will love seeing the MADE ,love,Positive
177,CBC LisaLaFlammeCTV CTVNews globalnews JustinTrudeau This message is for the PM but also asking the media if ,,Neutral
178,Hello Canadian Insurance Companies Isnt it time for you to start acting together toocanada intact manulife ,,Neutral
179, nationalpost As COVID19 depletes stockpiles 3M reaches deal to supply Canada with face masks despite US restrictions,,Neutral
180, Robkixxxx This Thursday night 7pm eastern My guest is TysonDux We hear his stories wrestling from Canada to the States and Japan and,,Neutral
181,ShiteGrampSays I love how Scheer grilled Trudeau in HOC,love,Positive
182, harold41314 Una persona que le gusta EEUU termina viviendo en EEUUUna persona que le gusta Canad termina viviendo en CanadUna,,Neutral
183,vaughngeorge9 cenkuygur Huh Canada has single payer and their tax rates arent SO much higher than ours They lo ,,Neutral
184,Moved early and against the UN and WHO recommendations and now WAY under the projectionAnd Canada didnt close ,recommendations,Positive
185, jyduclos In a single day we received 642 000 applications for the Canada Emergency Response Benefit We will work just as hard in the,"work,hard",Neutral
186, PierrePoilievre Congratulations to LeonaAlleslev jeneroux KellyBlockmp jamesbezan on a brilliant action plan to resupply Canada fo,brilliant,Positive
187,Example of a company innovating Autoliv Canada is using material normally meant for airbags to produce medical gowns,,Neutral
188,byterryjones Believe it or not TJ Im on another thread where it sounds like the person is celebrating the fact ,like,Positive
189,StanleyCohenLaw In Canada and US much more testing is neededbecause good testing will be crucial as the first ,good,Positive
190, Canada Stay Strong amp Stay Home ,,Neutral
191, LeonardRoxon Canadas Top Moron Doctor you meanThis crackpot appears to be regurgitating instructions from China She mustve for,,Neutral
192, Puglaas Applications to the Canada Emergency Response Benefit are now open COVID19,,Neutral
193, LDanieri FUERON VARIASLas sub estaciones que explotaron Video que me llega Maracaibo San Francisco  Machiques La Caada Lossa,,Neutral
194,EnactusCanada StefanyVie Kaittouesnard katiezajner I would say take every opportunity that presents itself Be ,,Neutral
195,EnactusCanada ForseyWilliam StefanyVie katiezajner Take advantage of every opportunity Work hard and people w ,"advantage,hard",Neutral
196, TAEFM Entertainment Tonight Canada also said V suggested a good way how to enjoy your life at home during this timeTheresia Marqu,"enjoy,good",Positive
197,TorontoStar We are strong  Canada,strong,Positive
198, cbcDougDirks Calgary city council approves 75 residential property tax hike defers payments until fall  CBC,fall,Negative
199, ESDCGC The GoC is providing a onetime extra payment of the Goods and Services Tax Credit to those who require the most help with th,,Neutral
200,Day 7Denver Pioneers and Canada30daysofleos ,,Neutral
201, MerlinofCanada Has everyone noticed that AndrewScheer stephenharper PierrePoilievre jkenney have not condemned DonaldTrump for tr,condemned,Negative
202, LacroixUN Very good conversation w DefenseCanada Minister HarjitSajjan I welcome Canadas continuous commitment as we face COVID,"commitment,good,welcome",Positive
203, Madepalmar Maracaibo San Francisco Caada de Urdaneta Lossada y Machiques de Perij municipios que hasta ahora reportan apagn 7,,Neutral
204,MSNBC Canada has just over 17000 cases and 370 deaths  Do you see the difference when a Country works together an ,works,Positive
205,AmyWinston cnni Founding a charity organization is a bad thing in your world Would you rather they stayed ,bad,Negative
206, LouiseMartinCBC Nova Scotia records its first death related to COVID19  CBC News COVID19 ,death,Negative
207,Trudeau Other companies like Canada Goose are making equipment like medical gowns Companies arent only creating ,like,Positive
208, CBCAlerts UPDATE There are now 17 new coronavirus cases in Nova Scotia for a total of 310 since the outbreak began Canadas case tot,outbreak,Negative
209, CanadaChrisPC Trudeau hiding in his houseCan anyone explain to me where they want PMJT to be  Tour hospitals  Theyre kinda,,Neutral
210,daviakbrownThanks for bringing this to our attentiondaviakbrown We apologize for this inconvenience Wed like t ,"like,inconvenience",Neutral
211, presidentseun Who would have thought that it would be a charity organization all the way from Canada that would be helping out The cit,helping,Positive
212,AngieSkys your tweet reminds me of this guy  ,,Neutral
213, CanadensisMax Only in Canada ,,Neutral
214, farhanmohamed New from PM Trudeau today Says more than 5000 companies have offered their help Agreements with a number of compa,,Neutral
215, GrayMackenzie PMJT says Canada is receiving 500K masks from 3M tomorrow No word on the other 25 million masks from the order that t,,Neutral
216,Canada reports 379 new cases and 22 new deaths bringing total confirmed cases there to 17046 and 345 total deaths ,,Neutral
217, jmw327 so xppenusa has kindly offered to give away one of these Artist 156 Pros Retweet this post Follow xppenusa  Tag frie,kindly,Positive
218,Canada faces defeat in war against giant feral hogs,"defeat,hogs",Neutral
219,BabaWawa LippyLarry giavera05 Mommy2JandB Canada doesnt have a President and for the first time in history ,,Neutral
220,Get Huawei and China out of Canada ,,Neutral
221, minliangtan Hey VancityReynolds wick22  10K surgical masks are enroute to Canada via FedEx  tracking says it should arrive by Th,,Neutral
222, CBCNews COVID19 update Trudeau addresses Canadians  Special coverage with RosieBarton  ,,Neutral
223, sylvielendvay PM Trudeau Producing 30 thousand MadeinCanada ventilatorsMake sure life saving machines made right here at home P,right,Positive
224,PM Justin Trudeau Thanks frontline workers on WorldHealthDay coronavirus COVID19 pandemic Canada ,,Neutral
225, BestStephen As best as I can telland Id welcome being proven wrongthere are no Conservative Party of Canada CPCHQ MPs Senato,"best,proven,welcome",Positive
226,Its the big day Canada Get your copy of NERVE by evaholland from your local bookstore or as an ebook or audio ,,Neutral
227,StephenPunwasi In our MortPros Canada 2019 consumer survey we estd that during the year there was 114bn in e ,,Neutral
228, blogTO Someone created a lego version of Justin Trudeaus daily press conferences   walsht Canada JustinTrudeau Trudeau Lego ht,,Neutral
229, sunlorrie Orlans man stung with 700 fine for letting his autistic son play in empty field ,fine,Positive
230, Astrophilic God I Said Canada Not Nigeria ,,Neutral
231, wewap James Smith Cree Nation woman keeps community busy as Sask reserve sees 1st COVID19 case  CBC News  by,,Neutral
232, SpencerFernando Interesting to see some people saying no country was prepared and everyone was caught off guard That is wrong Th,wrong,Negative
233, WeAreCanProud The current crisis has highlighted how vital the oil and gas sector is to Canada Without the energy sector we wouldnt,crisis,Negative
234, KcRated rolfeyswoman WeHaveRisen HB04920973 Shorty56167141 erriers TribbleIndustr1 ThomasFines FederalistNo78 ZRealLoki2,,Neutral
235, sol651 RUMBO AL MEGA APAGON DEFINITIVOAnoche explotaron varias sub estaciones en el Zulia  que dejaron a Oscuras nuevamente al Zulia,,Neutral
236, patkiddlehopper cdnpoli uspoli Let me be absolutely clear never again can we leave our lives in the hands of the US No matter the,clear,Positive
237, nevdawood This is not what MY CANADA  would do because this is and never will be  NotMyPrimeMinister,,Neutral
238, Z1035Toronto Trudeau says Canada is expecting 500000 masks from 3M tomorrow,,Neutral
239, LacroixUN Trs bonne discussion avec Ministre DefenseCanada HarjitSajjan Je salue lengagement continu du Canada pendant COVID19,,Neutral
240, lafleurmtl Canada isnt that greatIts just that the oligarchy to the South is so dystopian and greedyIn its ruleIt causes us to look,,Neutral
241, debbierachlis Good God Canada migrants are not criminals Release them all ,,Neutral
242,dsnelles Goes back to Canada and is already talking to Neighbors Im American bitch Ive never spoken to even ONE ,bitch,Negative
243, MeanwhileinCana Great to see Canadians stepping up Starting today 100000 medicalgrade surgical masks will be rolling off the ass,,Neutral
244,CBCAlerts Well its completely accurate and true The fact youve tried to paint it otherwise in this shitty attem ,accurate,Positive
245, canadalifeco Were lighting up our corporate buildings in red this month to show our support for first responders ThankYouHeroes for,support,Positive
246,leopoldolopez El apocalipsis les lleg a eeuu Espaa falta Canad,,Neutral
247,News Release 070420 YIELD GROWTH RECEIVES HEALTH CANADA APPROVAL FOR 2ND HAND SANITIZER IN FIGHT AGAINST CORON ,,Neutral
248, thehappykid Even when you go to Canada you find out there is nowhere To ron to Think about it ,,Neutral
249,I dont want to use cash reduce people touching shares objects but my bank charges me after a certain number of d ,,Neutral
250, alexgauthier92 Il se pourrait que la fte nationale du Canada soit annule en raison de la pandmie Faisons en sorte que celle du,,Neutral
251, tango1711 As a veteran who has many friends in the medical fraternity I can understand the depth of this messageCoronavirus Why hea,,Neutral
252, PorkNS Lets not forget about the potential ASF risks for Canada amidst the COVID19 pandemic This current outbreak serves as an unf,"outbreak,risks",Negative
253,Trudeau gives update on Canadas efforts to secure ventilators   cdnpoli,secure,Positive
254, ReutersLatam El primer ministro de Canad  Justin Trudeau habla con la prensa sobre el brote de coronavirus en el pas ,,Neutral
255,Redpainter1 Shes so dumb she thinks Johnny Cash is a pay toilet She once bought a solar powered flashlight She ,dumb,Negative
256, martinezmeucci Brownfield siempre habla claro El que no entiende es porque no quiere  va eltiempo,,Neutral
257, ImmunizedotCa Dr Theresa Tam CPHOCanada offers new advice Wear a nonmedical face mask when shopping or using public transit  gl,,Neutral
258, robinstevenson Back in 2016 we sponsored a refugee family to come to Canada Today knowing that were selfisolating because of trav,,Neutral
259, theJagmeetSingh Too many people cant access the CERBToday I have written to the Prime Minister to encourage him to send direct fin,encourage,Positive
260, Flobga Quils se passent les doc entre paysa fera moins pieds nickelsSi a marche il faut tester et donner  grande chelle le pla,,Neutral
261,Prestation Canadienne dUrgence PCU  Canada Emergency Response Benefit  2000  Mois  Per month Prsentez v ,,Neutral
262, TobyBoulet Sluggo started the ripple Logan created the wave A tsunami has swept across Canada amp 300K have registered to be an organ,,Neutral
263,Nestce pas chers gens  Vous le saviez pas avant de mattaquer en propos diffamatoires   Mon Nom  un emblme de ,,Neutral
